id,planet,sign,interpretation_text
131,Chiron,Aquarius,Chiron in Aquarius: [Add your interpretation here]
121,Chiron,Aries,Chiron in Aries: [Add your interpretation here]
124,Chiron,Cancer,Chiron in Cancer: [Add your interpretation here]
130,Chiron,Capricorn,Chiron in Capricorn: [Add your interpretation here]
123,Chiron,Gemini,Chiron in Gemini: [Add your interpretation here]
125,Chiron,Leo,Chiron in Leo: [Add your interpretation here]
127,Chiron,Libra,Chiron in Libra: [Add your interpretation here]
132,Chiron,Pisces,Chiron in Pisces: [Add your interpretation here]
129,Chiron,Sagittarius,Chiron in Sagittarius: [Add your interpretation here]
128,Chiron,Scorpio,Chiron in Scorpio: [Add your interpretation here]
122,Chiron,Taurus,Chiron in Taurus: [Add your interpretation here]
126,Chiron,Virgo,Chiron in Virgo: [Add your interpretation here]
71,Jupiter,Aquarius,Jupiter in Aquarius: [Add your interpretation here]
61,Jupiter,Aries,Jupiter in Aries: [Add your interpretation here]
64,Jupiter,Cancer,Jupiter in Cancer: [Add your interpretation here]
70,Jupiter,Capricorn,Jupiter in Capricorn: [Add your interpretation here]
63,Jupiter,Gemini,Jupiter in Gemini: [Add your interpretation here]
65,Jupiter,Leo,Jupiter in Leo: [Add your interpretation here]
67,Jupiter,Libra,Jupiter in Libra: [Add your interpretation here]
72,Jupiter,Pisces,Jupiter in Pisces: [Add your interpretation here]
69,Jupiter,Sagittarius,Jupiter in Sagittarius: [Add your interpretation here]
68,Jupiter,Scorpio,Jupiter in Scorpio: [Add your interpretation here]
62,Jupiter,Taurus,Jupiter in Taurus: [Add your interpretation here]
66,Jupiter,Virgo,Jupiter in Virgo: [Add your interpretation here]
59,Mars,Aquarius,Mars in Aquarius: [Add your interpretation here]
49,Mars,Aries,Mars in Aries: [Add your interpretation here]
52,Mars,Cancer,Mars in Cancer: [Add your interpretation here]
58,Mars,Capricorn,Mars in Capricorn: [Add your interpretation here]
51,Mars,Gemini,Mars in Gemini: [Add your interpretation here]
53,Mars,Leo,Mars in Leo: [Add your interpretation here]
55,Mars,Libra,Mars in Libra: [Add your interpretation here]
60,Mars,Pisces,Mars in Pisces: [Add your interpretation here]
57,Mars,Sagittarius,Mars in Sagittarius: [Add your interpretation here]
56,Mars,Scorpio,Mars in Scorpio: [Add your interpretation here]
50,Mars,Taurus,Mars in Taurus: [Add your interpretation here]
54,Mars,Virgo,Mars in Virgo: [Add your interpretation here]
35,Mercury,Aquarius,Mercury in Aquarius: [Add your interpretation here]
25,Mercury,Aries,Mercury in Aries: [Add your interpretation here]
28,Mercury,Cancer,Mercury in Cancer: [Add your interpretation here]
34,Mercury,Capricorn,Mercury in Capricorn: [Add your interpretation here]
27,Mercury,Gemini,Mercury in Gemini: [Add your interpretation here]
29,Mercury,Leo,Mercury in Leo: [Add your interpretation here]
31,Mercury,Libra,Mercury in Libra: [Add your interpretation here]
36,Mercury,Pisces,Mercury in Pisces: [Add your interpretation here]
33,Mercury,Sagittarius,Mercury in Sagittarius: [Add your interpretation here]
32,Mercury,Scorpio,Mercury in Scorpio: [Add your interpretation here]
26,Mercury,Taurus,Mercury in Taurus: [Add your interpretation here]
30,Mercury,Virgo,Mercury in Virgo: [Add your interpretation here]
23,Moon,Aquarius,Moon in Aquarius: [Add your interpretation here]
13,Moon,Aries,Moon in Aries: [Add your interpretation here]
16,Moon,Cancer,Moon in Cancer: [Add your interpretation here]
22,Moon,Capricorn,Moon in Capricorn: [Add your interpretation here]
15,Moon,Gemini,Moon in Gemini: [Add your interpretation here]
17,Moon,Leo,Moon in Leo: [Add your interpretation here]
19,Moon,Libra,Moon in Libra: [Add your interpretation here]
24,Moon,Pisces,Moon in Pisces: [Add your interpretation here]
21,Moon,Sagittarius,Moon in Sagittarius: [Add your interpretation here]
20,Moon,Scorpio,Moon in Scorpio: [Add your interpretation here]
14,Moon,Taurus,Moon in Taurus: [Add your interpretation here]
18,Moon,Virgo,Moon in Virgo: [Add your interpretation here]
107,Neptune,Aquarius,Neptune in Aquarius: [Add your interpretation here]
