signs,nature,sources_of_contentment,kewords,interpretation
Aries,"honest, assertive, independent, childlike","freedom, conquest, leading, passionate, expression",,"Impulsive emotions, quick to anger and forgive, needs action"
Taurus,"trustworthy, stable, security-driven, restrained","earthly pleasures, sensuality, predictability, beauty",,"Needs emotional stability, values comfort, slow to change"
Gemini,"communicative, changeable, analytical, intellectual","banter, socializing, good conversations, charming others",,"Emotionally changeable, needs mental stimulation, expressive"
Cancer,"nurturing, deep, sensitive, moody","alone time, cooking, being home, connecting with close friends",,"Deep emotional sensitivity, intuitive, needs security"
Leo,"cheerful, warm, dramatic, domineering","attention, creative expression, affection, playfulness",,"Dramatic emotions, needs appreciation, warm-hearted"
Virgo,"practical, humble, helpul, critifical","organization, serving others, safety, analyzing feelings",,"Practical emotions, worries easily, needs order and routine"
Libra,"adaptable, balanced, artistic, people-pleasing","beauty, balance, stillness, peace",,"Needs harmony, emotionally balanced, values partnership"
Scorpio,"passionate, deep, wise, destructive","magic, profundity, extremism, inner exploration",,"Intense feelings, secretive emotions, deep and complex"
Sagittarius,"forthright, resless, enthusiastic, optimistic","travel, teaching, adventure, nature",,"Restless emotions, needs freedom, optimistic outlook"
Capricorn,"concervative, virtuous, serious, reserved","music, family, comedy, networking",,"Reserved emotions, practical feelings, serious and cautious"
Aquarius,"unconventional, rebellious, authentic, detached","invention, community, creative work, humanitarianism",,"Detached emotions, values friendship, unconventional feelings"
Pisces,"compassionate, imaginative, loving, lacking boundaries","dreaming, the arts, spirituality, the ocean",,"Highly sensitive, empathetic, absorbs others' emotions easily"
