id,name,element,modality,ruler,beneficial,unbeneficial,adverb,phrase,descriptor,color,aspiration,stones,visual_representation,attributes,drive,interests,keywords
1,Aries,fire,cardinal,mars,"confidence, courage, pioneer spirit","impulsiveness, impatience, unreliability",urgently,i am,courageous / headstrong,red,control,"sardonyx, bloodstone",ram,"willful, aggressive, enthusiastic, indepedent, direct",to trail-blaze,"hunting, risk taking, fencing, racing, copmetition","courage, initiative, impatient, impulsive, competitive, high energy"
2,Taurus,earth,fixed,venus,"strong, nourishing, creative","possessive, stubborn, self-indulgent",Realistically,i have,dependable / materialistic,green,obedience,emerald,bull,"stable, patient, elegant, resourceful, security-oriented, decadent",to luxuriate,"gardening, dancing, beautifucation, yoga","stable, stubborn, determined, lazy, conservative, devoted"
3,Gemini,air,mutable,mercury,"intelligent, communicating, curious","restless, gossiping, neurotic",intelligently,i think,intelligent / unreliable,yellow,wisdom,agate,twins,"communicative, witty, adaptable, synergistic, mischievous, fickle",to gather knowledge,"debating, reading, comedy, tennis, gossiping","sociable, flirtatious, scattered, restless, alert, adaptable"
4,Cancer,water,cardinal,moon,"reassurance, nurture, possibilities","insecurity, nurture, possibilities",carefully,i feel,sensitive / moody,ice blue,harmony,pearl,crab,"nurtuing, moody, aternal, empathetic, family-oriented, clinging",to nurture,"cooking for friends, volunteering, long baths, staying home, collecting","emotional, domestic, nurturing, protective, intuitive, receptive"
5,Leo,fire,fixed,sun,"generoity, energy, confidence","egoism, conceit, ingratitude",proudly,i will,expressive / egoic,golden,gratitude,ruby,lion,"warm, loyal, proud, dramatic radiant, fierce",to impress,"performing, sunbathing, cuddling, fund-raising, playing","confident, loyal, stubborn, snobbish, selfish, generous, affectionate"
6,Virgo,earth,mutable,mercury,"perfection, duty, purity","anxiety, criticism, disorganization",precisely,i analyze,thoughtful / judgmental,brown,divine justice,sardonyx,virgin,"organized, logical, health-oriented, devoted, humble, perfectionistic",to serve others,"caring for animals, editing, writing, organizing, nutrition","practical, critical, reserved, discriminating, dependable, intuitive"
7,Libra,air,cardinal,venus,"harmonious, considerate, honest","complacent, inactive, unadventurous",adaptively,i balance,romantic / indecisive,rose,reality,sapphire,scales,"fair, collaborative, tasterful, indecisive, tactful, refined",to love and be loved,"romance, music concerts, museums, songwriting, making art","people person, cooperative, impatient, fair, vain, dependent"
8,Scorpio,water,fixed,mars/pluto,"passionate, perceptive, fearless","possessive, resentful, vindictive",intensely,i create,passionate / destructive,dark red,vision,opal,scorion,"intimate, mysterious, magnetic, powerful, intense, obsessive",to transform,"investigation, science, psychology, tinkering, magic","stubborn, relentless, emotional, distrustful, resilient"
9,Sagittarius,fire,mutable,jupiter,"visionary, active, generous","overburdened, impatient, undiscriminating",far-reachingly,i perceive,inspiring / restless,purple,victory,turquoise,archer,"adventurous, big-minded, honest, reckless, frank",to seek truth,"traveling, horseback riding, camping, exploring, archery","freedom-loving, optimistic, honest, spendthrift, indulgent"
10,Capricorn,earth,cardinal,saturn,"practical, responsible, loyal","controlling, overcautious, inflexible",usefully,i use,diligent / repressive,black,power,jet and onyx,goat,"driven, perservering, distinguished, restrained, disciplined, traditional",to accomplish,"playing music, collecting antiques, comedy, gardening, rock climbing","ambitious, conservative, responsible, pessimistic, patient"
11,Aquarius,air,fixed,Saturn/uranus,"humane, loving, innovating","intransigetn, self-righteous, arrogant",knowingly,i know,original / shocking,turquoise,love,turquoise,water carrier,"original, eccentric, futuristic, shocking, humanitarian",to be free,"inventing, humanitarianism, sci-fi, community organizing, technology","independent, rebellious, aloof, inventive, intellectual"
12,Pisces,water,mutable,Jupiter/Neptune,"sensitive, compassionate, adaptable","vague, burdened, vulnerable",sypmathetically,i believe,imaginative / spacey,soft sea greens,mastery,amethyst,fishes,"dreamy, mystical, impressionable, tender, passive, poetic",to embody unconditional love,"photography and film, meditation, spirituality, partying","compassionate, sensitive, impressionable, impractical, self-absorbed"
