Signs,archetypes_balanced,archetypes_unbalanced,journey,gifts,challenges,interpretation
Aries,"the trailblazer, the hero","the fighter, the child",becoming the selfless leader,"initiative, decisiveness, willfulnes, straightforwardness, leadership","selfishness, brashness, impatience, impulsiviity, intolerance","Bold, pioneering, energetic, independent leader"
Taurus,"the artisan, the sensualist","the narcissist, the materialist",developing healthy self-worth,"stillness, beauty, groundedness, generosity, compassion","self-doubt, rigidity, overindulgence, materialism, vanity","Stable, practical, sensual, values security and comfort"
Gemini,"the teacher, the expert","the dictator, the phony",joining intellect with heart,"intellignce, with, clarity, curiosity, liveliness","restlessness, unreliability, manipulation, nervousness, duplicity","Curious, communicative, adaptable, intellectual and social"
Cancer,"the nurturer, the sensitive","the moper, the grouch",mastering emotional sensitivity,"gentleness, imagination, perceptiveness, supportiveness, hospitality","moodiness, vunlerability, suspicion, smothering, insecurity","Nurturing, emotional, protective, values home and family"
Leo,"the performer, the loving king","the show-off, the autocrat",expanding into unconditional love,"creativity, playfulness, humor, affection, self-expression","boastfulness, codependence, exaggeration, arrogance, self-absorbtion","Creative, confident, generous, natural performer and leader"
Virgo,"the angel, the devotee","the worrier, the judge",attaining spiritual perfection,"loyalty, sensitivity, hard work, practicality, purity","worry, spinning, judgment, criticism, righteousness","Analytical, practical, service-oriented, detail-focused"
Libra,"the artist, the lover","the dilletant, the liar",mastering paradox,"equilibrium, beautification, appreciation, charm, romance","dishonesty, indecision, dilettantism, people-pleasing, avoidance","Diplomatic, harmonious, relationship-focused, seeks balance"
Scorpio,"the shaman, the alchemist","the repressor, the destroyer",surrendering control,"passion, bravery, depth, mysticism, transformation","repression, explosiveness, vengefulness, obsession, possessiveness","Intense, transformative, passionate, deeply emotional"
Sagittarius,"the philosophher, the yogi","the extremist, the restless wanderer",turning knowledge into wisdom,"idealism, adventurousness, optimism, wisdom, athleticism","impatience, fanaticism, restlessness, abstraction, confrontation","Adventurous, philosophical, optimistic, freedom-seeking"
Capricorn,"the businessman, the dignitary","the social climber, the authoritarian",merging vulnerability with ambition,"ambition, integrity, dependability, discipline, responsibility","materialism, social climbing, stubborness, opportunism, control","Ambitious, disciplined, responsible, goal-oriented"
Aquarius,"the genius, the humanitarian","the contrarian, the robot",experiencing ultimate freedom,"freedom, originality, inventiveness, progressiveness, humanitarianism","aloofness, unpredictability, stubbornness, contrarianism, perversion","Independent, innovative, humanitarian, intellectual and unique"
Pisces,"the spiritualist, the dreamer","the martyr, the escapist",blending heaven and earth,"forgiveness, spirituality, adaptability, gentleness, compassion","escapism, victimization, inferiority, unworthiness, self-indulgence","Compassionate, intuitive, imaginative, spiritually-minded"
