id,planet,sign,interpretation_long,interpretation_short,keywords,
71,Jupiter,Aquarius,"You’re tolerant yet unpredictable and stubborn at times, with a life philosophy that’s uniquely yours. You set your own personal standards and faithfully live by them. High on your list is injustice; you see equality as the only acceptable norm. You value people—and your many friends—for their individuality and accept them as they are, even if you don’t necessarily agree with their decisions and choices. Humanitarian causes, groups, and organizations appeal to you, and many benefit from your involvement and leadership. Some people with Jupiter in Aquarius are activists and instrumental in social change.",,,
61,Jupiter,Aries,"Jupiter expands spontaneously and irresponsibly In Ares, Jupiter's natural optimism can be supremely glenous, if not always realiste. It is driven by the simple idealistic belief that freedom of action leads to truth and so carries all before it - given the opportunity and the chance to grew in their own way, people and situations will turn out for the best. While wasteful uncompleted projects are very possible, this approach can often lead to remarkable advances.",,,
64,Jupiter,Cancer,"Family ties are generally positive and supportive, and you cherish fond memories of special moments with close friends and loved ones. Home life is an equally important focus, and you strive to create a welcoming, warm, and caring environment. Many people with Jupiter in Cancer adopt family beliefs as their own and never waver from them, partly out of loyalty. Sympathetic and kind, you’re among the first to give to those in need as well as those you love. Hunches are often on target, especially in money matters, and you may achieve wealth status.",,,
70,Jupiter,Capricorn,"You have an innate understanding of the principles of expansion and contraction, and a talent for practical vision. Opportunities come to you, and others are of your own making. You’re somewhat cautious but also quick to follow through on anything with real potential to advance your career and status. Ambitious and success- and money-motivated, you have the common sense to know that advancement is a step-by-step process that requires goals, planning, and timing, along with your strong work ethic. Most people with this placement are conservative and traditional. Many thrive in corporate life.",,,
63,Jupiter,Gemini,"You’re fun-loving and talkative, and curiosity fuels your perpetual quest for information. You know a lot about many things, but tend to scatter your mental energies rather than limit your focus to a specific area of expertise. That’s the result of your versatile, intelligent mind and high boredom factor. You can turn this potential weakness into a strength by striving for excellence in a single area where you can profit from all the miscellaneous data stored in your brain. Charming and glib, you may have exceptional writing or speaking talent.",,,
65,Jupiter,Leo,"You love being in the limelight and doing things on a grand scale. Generous and loving, you nevertheless expect admiration and thus can be prone to an inflated ego. Creativity, loyalty, and leadership are strengths, as are optimism and the ability to energize and motivate others. Children delight many people with Jupiter in Leo (your own or family members’). If you’re among them, you probably devote as much time as possible to these children and their interests and activities. Your taste for luxury and designer labels can become an expensive indulgence.",,,
67,Jupiter,Libra,"Friendly, helpful, and enthusiastic, you encourage and inspire others to excel. In turn, they bring you luck, and you could benefit financially through a business or romantic partner. Relying on others can become a pattern, however, when independence would better serve your interests. You’re an astute observer of human nature, and people value your advice. Although you steer clear of conflict, you will take a stand to ensure justice and fairness, and at times you put others and their needs and desires first to maintain harmony.",,,
72,Jupiter,Pisces,"You’re known for your compassion and generosity. Helping others gives you great satisfaction, and people appreciate your kind and understanding nature. But these fine qualities encourage less-ethical people to take advantage of you. Be wise and good to yourself: weigh each request on its merits, and do your best to remove emotions from the equation. Not everyone is deserving of your sympathy, so temper your idealism with reality. You have an excellent imagination and are creative in some way. Many people with this placement are intuitive or psychic. Guard against self-indulgence in any form.",,,
69,Jupiter,Sagittarius,"Upbeat and enthusiastic, you’re also a deep thinker who enjoys philosophical discussions and mental journeys as much as travel. Your lifetime quest for knowledge makes you a perpetual learner, both in and out of the classroom, and you willingly share all you know to help others. Also generous with your time and talents, you expect nothing in return for favors granted. But be careful of a tendency to put too much faith in others and their promises. Balance optimism with reality. You’re lucky more often than not, and calculated risks can pay off handsomely for you.",,,
68,Jupiter,Scorpio,"You delve deep into any subject that interests you, researching every facet until you’ve mastered the knowledge or acquired enough to suit your needs. However, you can overdo it and develop an intense emotional involvement that limits perspective. Step back periodically for a fresh look. At times, you can be secretive and suspicious of others’ motives. That’s an asset when used positively to protect your interests, but not if it undermines your financial objectives. Many people with Jupiter in Scorpio amass sizable assets through hard work and determination.",,,
62,Jupiter,Taurus,"You’re financially lucky, plus you have the common sense it takes to successfully manage money matters to your benefit. Many people with Jupiter in Taurus amass considerable assets, and higher education further increases the odds in your favor. You also acquire and are attached to your many possessions and rarely let go of anything, even when it’s outlived its usefulness. Weight gain is possible because good food and comfort are a way of life. Your practical vision is excellent for big-picture planning.",,,
66,Jupiter,Virgo,"Work can become the driving force in your life, even to the point of consuming almost all of your waking hours. Satisfaction and rewards fuel your desire for more, but you also can over-extend yourself. The result, sooner or later, will be burnout, so reprogram your thinking to include regular downtime. You’re excellent with details and also have an eye for the big picture, giving you a unique combination of talents. But at times you can get stuck in analysis and be overly critical. Some people with Jupiter in Virgo are actively involved in charitable organizations and other good causes.",,,
59,Mars,Aquarius,"Independence and determination (which at times is better characterized as stubbornness) encourage you to adopt an “I’ll do it myself” attitude. But you’re also drawn to people and can be an outstanding team player. You’re one or the other, or both, depending on the day, conditions, and your mood. You’re more inclined to join the crowd if your innovative ideas are likely to be accepted and you’re in sync with the group’s aims. The unusual captures your attention, and your strong mental energy is in some way unconventional, prompting a unique, imaginative approach to tasks and activities. You follow through and complete what you start. However, you may be prone to nervous tension and stress; exercise and relaxation are good antidotes.",,,
49,Mars,Aries,"Mars in Aries is pure, high-powered energy. Bold and courageous, you’re an independent overachiever who always wants to be first and loves a challenge—the more competitive the better. High initiative and drive can keep you on track, focused on goals, but you’re far more of a starter than a finisher. You pursue tasks with enthusiasm, sometimes in an overly aggressive or persistent manner that can deter potential supporters. Try a less headstrong and more tactful approach; it will yield better results and enhance your natural leadership ability. Mars in Aries also promotes recklessness and risk taking. Be smart. Slow the pace just a little, especially on the road. Think before you act.",,,Mars acts bravely and aggressively
52,Mars,Cancer,"Feelings are your main motivator, and much of what you do has an emotional undertone. You thus can get so wrapped up in a project, idea, or relationship that it’s tough to keep your objectivity. That results in frustration when things don’t go according to plan. Try to distance yourself a little and aim for periodic reality checks to be sure your perspective is on target. Then you can make the most of your persistence to finish what you start. Family relationships are influential in your life, although there could be conflict and difficulties with parents. If you’re handy, Mars in Cancer can be an asset for do-it-yourself home improvements if you take safety precautions when working with tools or in the kitchen.",,,
