house,sign,interpretation
1,Aquarius,"You're friendly but aloof, free-spirited yet traditional. You also have a magnetic charm that intrigues people. Individuality defines you, and you can be both determined and stubborn, spontaneous and staid. Change excites you when it's your idea, and sometimes you initiate change for the sake of change."
1,Aries,"You’re a starter, not a finisher, the first one out of the gate on your way to the next competitive achievement. A leader, you can motivate and inspire others to emulate your drive and ambition. High energy and physical stamina are assets that complement your confidence and extroverted, upbeat personality."
1,Cancer,"The quest for emotional and financial security is a strong theme in your life. You’re well liked, but may be shy, and prefer time with family and close friends to socializing. Highly receptive and intuitive, you’re also sensitive; your feelings are thus easily hurt, although you hide it well from outsiders."
1,Capricorn,"You view just about everything in life as serious business. Although reserved, cautious, and conservative, you're also very ambitious and willing to work hard to get where you want to go. Common sense and a practical mindset keep you on track, along with patience and perseverance."
1,Gemini,"You’re fun and flirtatious, lively and popular, curious and interested in most everything. Focus is a challenge, as you tend to scatter your energies, partly out of boredom prompted by a short attention span. Mentally stimulating activities—reading, games, puzzles—hold your interest."
1,Leo,"You’re the life of the party, the one who energizes any gathering, business or pleasure. Confident and outgoing, you’re a natural leader who revels in the limelight and does most everything with a flair that attracts attention. But you also can be egocentric and dramatic, blowing small things out of proportion."
1,Libra,"With Libra, the universal sign of relationships, as your Ascendant, you're a people person who wants and needs a partner. Charm and diplomacy are strengths, and socializing is your comfort zone. Many people with Libra rising are exceptionally attractive and have a taste for luxury and an eye for beauty."
1,Pisces,"You're creative, intuitive, sensitive, and romantic. At times, you may view the world through rose-colored glasses, hoping that if you believe strongly enough, all your wishes will come true. They might or they might not. Protect yourself. Be realistic when necessary, and compassionate only when it's also best for you."
1,Sagittarius,"You're an independent free spirit who embraces each day with optimism and a spirit of adventure. Everyone knows where you stand because you express your opinions without reservation. You're also motivated by knowledge and information, and can be an outstanding leader and an excellent joke teller."
1,Scorpio,"You have an intense, magnetic aura that many find irresistible. Only those who know you very well glimpse your internal motivations and read your subtle signals. Determination is your strength. Nothing comes between you and your goal. But you also can be incredibly stubborn and unyielding."
